size, method, time
100, naive, 0.032074
100, better, 0.006966
200, naive, 0.059361
200, better, 0.040721
300, naive, 0.175546
300, better, 0.133385
400, naive, 0.438631
400, better, 0.312210
500, naive, 0.953982
500, better, 0.609223
600, naive, 1.975405
600, better, 1.059357
700, naive, 3.414400
700, better, 1.720778
800, naive, 5.304452
800, better, 2.499111
900, naive, 7.932557
900, better, 3.544915
1000, naive, 11.258577
1000, better, 4.910347
100, naive, 0.005053
100, better, 0.004933
200, naive, 0.059470
200, better, 0.045389
300, naive, 0.175648
300, better, 0.137809
400, naive, 0.435896
400, better, 0.320310
500, naive, 0.966009
500, better, 0.627242
600, naive, 1.942572
600, better, 1.072299
700, naive, 3.407672
700, better, 1.691668
800, naive, 5.335271
800, better, 2.515539
900, naive, 8.072662
900, better, 3.581877
1000, naive, 11.312243
1000, better, 4.864147
100, naive, 0.005137
100, better, 0.004918
200, naive, 0.055152
200, better, 0.041253
300, naive, 0.171906
300, better, 0.134061
400, naive, 0.435709
400, better, 0.312255
500, naive, 0.968934
500, better, 0.610872
600, naive, 1.950891
600, better, 1.062803
700, naive, 3.315946
700, better, 1.670764
800, naive, 5.293629
800, better, 2.500900
900, naive, 7.931146
900, better, 3.549340
1000, naive, 11.218091
1000, better, 4.865295
100, naive, 0.005107
100, better, 0.004934
200, naive, 0.055150
200, better, 0.041012
300, naive, 0.173318
300, better, 0.134082
400, naive, 0.437930
400, better, 0.314842
500, naive, 0.900585
500, better, 0.612336
600, naive, 1.927164
600, better, 1.052678
700, naive, 3.906861
700, better, 1.715262
800, naive, 5.814349
800, better, 2.932259
900, naive, 8.566670
900, better, 3.570904
1000, naive, 11.734463
1000, better, 4.911815
100, naive, 0.005149
100, better, 0.004960
200, naive, 0.053452
200, better, 0.041251
300, naive, 0.173146
300, better, 0.134525
400, naive, 0.437487
400, better, 0.311836
500, naive, 0.929792
500, better, 0.607460
600, naive, 1.977960
600, better, 1.268498
700, naive, 3.389691
700, better, 1.675354
800, naive, 5.337972
800, better, 2.520505
900, naive, 8.014381
900, better, 3.718038
1000, naive, 12.445273
1000, better, 4.981032
100, gsl-blas, 0.000805
200, gsl-blas, 0.005276
300, gsl-blas, 0.030417
400, gsl-blas, 0.050524
500, gsl-blas, 0.100328
600, gsl-blas, 0.171503
700, gsl-blas, 0.303307
800, gsl-blas, 0.437568
900, gsl-blas, 0.627903
1000, gsl-blas, 0.856326
100, gsl-blas, 0.000670
200, gsl-blas, 0.005413
300, gsl-blas, 0.025623
400, gsl-blas, 0.056307
500, gsl-blas, 0.100992
600, gsl-blas, 0.170383
700, gsl-blas, 0.292814
800, gsl-blas, 0.439630
900, gsl-blas, 0.637882
1000, gsl-blas, 0.864617
100, gsl-blas, 0.000637
200, gsl-blas, 0.005244
300, gsl-blas, 0.027666
400, gsl-blas, 0.051821
500, gsl-blas, 0.100806
600, gsl-blas, 0.167589
700, gsl-blas, 0.294187
800, gsl-blas, 0.440843
900, gsl-blas, 0.631425
1000, gsl-blas, 0.850168
100, gsl-blas, 0.000691
200, gsl-blas, 0.005231
300, gsl-blas, 0.025687
400, gsl-blas, 0.052423
500, gsl-blas, 0.095826
600, gsl-blas, 0.173065
700, gsl-blas, 0.309393
800, gsl-blas, 0.446974
900, gsl-blas, 0.625238
1000, gsl-blas, 0.860317
100, gsl-blas, 0.000661
200, gsl-blas, 0.005256
300, gsl-blas, 0.025458
400, gsl-blas, 0.056484
500, gsl-blas, 0.095798
600, gsl-blas, 0.170096
700, gsl-blas, 0.290773
800, gsl-blas, 0.448342
900, gsl-blas, 0.624358
1000, gsl-blas, 0.856916
